iter	Passed	Remaining
0	7	7549
1	13	6791
2	19	6339
3	24	6207
4	31	6241
5	38	6330
6	42	6079
7	47	5944
8	51	5713
9	56	5573
10	60	5465
11	64	5311
12	67	5143
13	71	5001
14	73	4807
15	77	4766
16	82	4775
17	87	4800
18	92	4755
19	96	4712
20	99	4638
21	104	4643
22	108	4597
23	111	4550
24	116	4543
25	120	4496
26	121	4380
27	125	4362
28	129	4347
29	134	4363
30	139	4358
31	141	4270
32	145	4249
33	149	4234
34	153	4234
35	157	4215
36	161	4191
37	164	4170
38	169	4175
39	173	4154
40	177	4148
41	181	4134
42	185	4134
43	189	4122
44	193	4107
45	198	4107
46	202	4104
47	206	4091
48	208	4056
49	212	4040
50	215	4008
51	219	3998
52	224	4002
53	227	3988
54	231	3975
55	235	3977
56	240	3981
57	244	3968
58	248	3956
59	249	3913
60	254	3910
61	257	3893
62	261	3895
63	264	3873
64	269	3880
65	273	3868
66	275	3834
67	279	3831
68	284	3840
69	287	3815
70	289	3782
71	293	3784
72	295	3755
73	299	3748
74	303	3741
75	307	3741
76	311	3734
77	316	3736
78	319	3725
79	322	3704
80	326	3700
81	330	3704
82	334	3697
83	338	3693
84	342	3684
85	345	3672
86	349	3671
87	353	3658
88	357	3654
89	359	3635
90	363	3630
91	366	3618
92	369	3608
93	374	3610
94	378	3604
95	380	3585
96	383	3573
97	387	3568
98	392	3569
99	395	3563
100	399	3559
101	404	3556
102	407	3545
103	410	3537
104	414	3532
105	418	3528
106	422	3522
107	426	3521
108	430	3515
109	433	3509
110	435	3490
111	439	3483
112	443	3481
113	448	3484
114	452	3481
115	456	3481
116	460	3477
117	464	3473
118	467	3460
119	472	3463
120	476	3461
121	481	3463
122	483	3450
123	488	3450
124	491	3442
125	495	3438
126	501	3447
127	504	3437
128	508	3434
129	512	3432
130	516	3426
131	520	3421
132	524	3420
133	527	3406
134	528	3386
135	533	3389
136	537	3388
137	541	3383
138	545	3375
139	550	3380
140	555	3381
141	559	3381
142	563	3379
143	567	3373
144	571	3369
145	575	3366
146	579	3364
147	584	3364
148	588	3361
149	592	3356
150	596	3351
151	600	3347
152	601	3331
153	604	3320
154	608	3319
155	611	3306
156	616	3308
157	620	3306
158	624	3303
159	629	3303
160	633	3300
161	637	3296
162	640	3290
163	644	3286
164	647	3278
165	650	3267
166	654	3264
167	658	3262
168	663	3263
169	667	3257
170	671	3257
171	675	3253
172	679	3249
173	684	3247
174	688	3244
175	692	3242
176	696	3238
177	700	3233
178	704	3231
179	708	3226
180	712	3224
181	716	3220
182	720	3217
183	724	3214
184	727	3205
185	732	3203
186	735	3199
187	739	3194
188	743	3190
189	747	3185
190	749	3175
191	753	3170
192	758	3170
193	762	3167
194	766	3164
195	771	3162
196	775	3162
197	779	3157
198	783	3153
199	787	3149
200	791	3146
201	796	3145
202	800	3141
203	804	3137
204	808	3135
205	813	3134
206	817	3133
207	822	3131
208	826	3127
209	831	3127
210	835	3123
211	838	3117
212	841	3108
213	845	3105
214	850	3105
215	853	3099
216	857	3095
217	862	3094
218	868	3096
219	872	3093
220	876	3089
221	881	3088
222	887	3092
223	891	3088
224	896	3088
225	902	3089
226	906	3086
227	910	3081
228	915	3080
229	919	3078
230	923	3075
231	928	3072
232	933	3071
233	937	3068
234	942	3067
235	947	3066
236	953	3068
237	957	3064
238	962	3065
239	967	3063
240	971	3059
241	975	3056
242	981	3056
243	985	3054
244	991	3054
245	996	3055
246	1001	3054
247	1006	3050
248	1010	3048
249	1016	3049
250	1020	3044
251	1024	3039
252	1030	3043
253	1036	3044
254	1040	3040
255	1065	3097
256	1076	3111
257	1101	3166
258	1114	3188
259	1128	3210
260	1135	3214
261	1142	3219
262	1149	3221
263	1163	3244
264	1174	3258
265	1181	3260
266	1197	3287
267	1207	3297
268	1239	3368
269	1247	3371
270	1263	3399
271	1270	3399
272	1276	3399
273	1281	3396
274	1291	3404
275	1297	3404
276	1306	3410
277	1310	3404
278	1315	3399
279	1320	3396
280	1326	3393
281	1331	3388
282	1336	3385
283	1341	3381
284	1345	3375
285	1349	3370
286	1353	3362
287	1357	3356
288	1361	3349
289	1365	3343
290	1370	3337
291	1374	3331
292	1377	3324
293	1382	3318
294	1386	3312
295	1390	3307
296	1394	3301
297	1399	3296
298	1403	3289
299	1407	3283
300	1411	3278
301	1416	3273
302	1420	3267
303	1424	3261
304	1428	3255
305	1433	3250
306	1438	3247
307	1443	3242
308	1447	3236
309	1452	3232
310	1457	3228
311	1461	3223
312	1465	3217
313	1469	3210
314	1475	3208
315	1479	3203
316	1483	3197
317	1487	3190
318	1492	3185
319	1496	3180
320	1500	3173
321	1504	3166
322	1507	3160
323	1511	3153
324	1515	3147
325	1534	3172
326	1539	3168
327	1545	3165
328	1549	3159
329	1553	3153
330	1557	3147
331	1561	3141
332	1565	3135
333	1569	3128
334	1573	3124
335	1577	3117
336	1581	3111
337	1586	3106
338	1589	3100
339	1594	3094
340	1598	3089
341	1602	3083
342	1607	3078
343	1612	3074
344	1616	3069
345	1620	3063
346	1624	3057
347	1629	3052
348	1633	3046
349	1637	3041
350	1641	3035
351	1647	3032
352	1652	3029
353	1656	3022
354	1660	3017
355	1666	3014
356	1670	3009
357	1675	3004
358	1679	2999
359	1683	2993
360	1688	2988
361	1692	2982
362	1697	2978
363	1701	2973
364	1705	2967
365	1709	2961
366	1713	2956
367	1718	2951
368	1722	2946
369	1726	2940
370	1731	2935
371	1735	2930
372	1739	2924
373	1743	2919
374	1747	2913
375	1753	2909
376	1756	2902
377	1760	2896
378	1764	2891
379	1769	2886
380	1773	2880
381	1778	2876
382	1782	2871
383	1786	2865
384	1790	2859
385	1794	2853
386	1798	2849
387	1802	2843
388	1807	2839
389	1811	2833
390	1815	2827
391	1819	2821
392	1823	2815
393	1826	2809
394	1830	2804
395	1835	2799
396	1839	2793
397	1843	2788
398	1847	2783
399	1851	2777
400	1855	2772
401	1860	2766
402	1864	2762
403	1868	2756
404	1873	2752
405	1877	2746
406	1881	2741
407	1885	2735
408	1889	2730
409	1893	2725
410	1897	2719
411	1902	2715
412	1906	2709
413	1910	2704
414	1914	2698
415	1918	2693
416	1923	2688
417	1928	2684
418	1932	2679
419	1936	2674
420	1939	2667
421	1944	2663
422	1949	2658
423	1953	2654
424	1958	2650
425	1964	2646
426	1968	2640
427	1971	2635
428	1976	2631
429	1982	2627
